N,train_size,test_size,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
1.0,20.0,980.0,0.5866938775510204,0.5828100343340382,0.5866938775510204,0.5808633872204515,0.5828100343340381,0.5866938775510204,0.5808633872204515
2.0,40.0,960.0,0.6228020833333333,0.6201943386250737,0.6228020833333333,0.61835732106113,0.6201943386250737,0.6228020833333333,0.61835732106113
3.0,60.0,940.0,0.6450106382978723,0.6422861714299888,0.6450106382978724,0.6410433646531484,0.6422861714299887,0.6450106382978723,0.6410433646531485
4.0,80.0,920.0,0.65825,0.6562353454660214,0.65825,0.654746787841803,0.6562353454660212,0.65825,0.6547467878418031
5.0,100.0,900.0,0.6670222222222222,0.6648697047930794,0.6670222222222223,0.6638748910832133,0.6648697047930795,0.6670222222222222,0.6638748910832132
10.0,200.0,800.0,0.6918625,0.6903294118086633,0.6918624999999999,0.6897309227775914,0.6903294118086633,0.6918625,0.6897309227775914
25.0,500.0,500.0,0.72532,0.7240314825798093,0.72532,0.7236916535984543,0.7240314825798094,0.72532,0.7236916535984544
