step,epoch,train_loss,val_loss,train_eo_loss,val_eo_loss,lr
2000,0,0.07925614228216,0.008206990005970001,0.07922449522412713,0.008205958401090986,0.0001680672268907563
4000,0,0.005985383138875477,0.004421113335341215,0.005984701714716395,0.004421314122695259,0.0003361344537815126
6000,0,0.0037636551971081643,0.00315586484849453,0.0037636515068269123,0.0031560224536679228,0.0005042016806722689
8000,0,0.00304435543960426,0.0032525569747015835,0.00304434688302257,0.0032527335946688895,0.0006722689075630252
10000,0,0.002828196028014645,0.0029364157655090094,0.0028281465089409134,0.0029367034674475916,0.0008403361344537816
12000,0,0.0027068189724232072,0.0025687341606616975,0.0027069994296324428,0.002568852044089069,0.0009999995173430552
14000,0,0.0025760381537256764,0.0024760750479623675,0.002576095828422486,0.0024761424591989733,0.0009997871633546256
16000,0,0.0024674091647029855,0.00241936092749238,0.0024675497888557744,0.0024194614680949572,0.0009991888729492125
18000,0,0.0023877648634370416,0.0023619436541199683,0.00238782923302304,0.002362050388498894,0.000998205108127588
20000,0,0.002319480033533182,0.002332349208034575,0.002319569778424229,0.0023324109771881295,0.0009968366285544618
22000,0,0.0022934545779717155,0.0022949092380702496,0.0022935309856208677,0.0022950223361444884,0.0009950844909718674
24000,0,0.0022516753631061873,0.002247520456407219,0.0022516590251207,0.0022476040164370434,0.000992950048383143
26000,0,0.0022087365820480046,0.00213542142406106,0.0022088830480449643,0.0021355369857162187,0.0009904349490081424
28000,0,0.002188413447263883,0.0021400540640577675,0.0021886060954065113,0.0021401740182259055,0.0009875411350104744
30000,0,0.0021406020627473482,0.0021756653965823354,0.0021406282685008625,0.002175838564445036,0.0009842708409977634
32000,0,0.002113780224084621,0.0021366716434061527,0.002113919454029988,0.0021368083185949673,0.000980626592296081
34000,0,0.002115041474404279,0.0021066099199466407,0.0021151483988956416,0.002106726193566499,0.0009766112029998845
36000,0,0.0020839052017836367,0.002162910776697099,0.0020840815299706956,0.002163045290001629,0.0009722277737989711
38000,0,0.002082534083165228,0.0021272616719081997,0.0020826941557692924,0.0021273913336280004,0.0009674796895841174
40000,0,0.002055043604748789,0.0020650485436432063,0.0020551933290304464,0.0020651616293169564,0.0009623706168332644
42000,0,0.0020601871942053547,0.0020375055513344705,0.0020605264592413516,0.002037644159750286,0.0009569045007802558
44000,0,0.002045047136809444,0.0020602318394742905,0.0020451175385485095,0.002060356317150082,0.0009510855623683231
46000,0,0.00201814249085146,0.002042233878336847,0.00201839434356169,0.002042385769610518,0.0009449182949906663
48000,0,0.0020334085632348433,0.0019811742526851593,0.002033751916363216,0.001981312591930083,0.0009384074610206494
50000,0,0.0019917422370635905,0.0020085644219256936,0.001991792446611225,0.002008685076134971,0.0009315580881342876
52000,0,0.002013727437821217,0.00203022862855345,0.0020138028497540404,0.0020303347173995143,0.0009243754654278684
54000,0,0.00198238399985712,0.002057429994922131,0.001982411334402744,0.002057564193833694,0.000916865139333704
56000,0,0.001980918143701274,0.00195584504539147,0.001981032283498523,0.0019559748302497184,0.0009090329093371665
58000,0,0.0019764663664682304,0.001937336580902338,0.001976597321419701,0.0019374890126628544,0.0009008848234983174
60000,0,0.001958977623289684,0.0019904553959704937,0.00195896305949404,0.0019905873859149157,0.0008924271737815856
